Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Mary.J,2022.06.28 08:31:15 EDT,33523,VPN,0,1,172.30.115.74,10.128.20.29,UDP,1194,7942906097,
openvpn-server,Teresa.I,2022.06.28 08:48:07 EDT,34731,VPN,0,1,172.16.1.253,10.128.20.118,UDP,1194,6637302486,
openvpn-server,Russell.A,2022.06.28 09:09:58 EDT,5339,VPN,0,1,172.17.5.209,10.128.20.174,UDP,1194,600536059,
openvpn-server,Kelly.G,2022.06.28 09:33:12 EDT,31177,VPN,0,1,172.26.66.81,10.128.20.216,UDP,1194,1810011912,
openvpn-server,Danielle.F,2022.06.28 09:48:06 EDT,15313,VPN,0,1,172.20.183.59,10.128.20.208,UDP,1194,2193204425,
openvpn-server,Emma.H,2022.06.28 10:04:27 EDT,22947,VPN,0,1,172.25.147.88,10.128.20.117,UDP,1194,4918781238,
openvpn-server,Denise.P,2022.06.28 10:16:19 EDT,9468,VPN,0,1,172.26.238.117,10.128.20.91,UDP,1194,1616026644,
openvpn-server,Jacqueline.T,2022.06.28 10:36:02 EDT,14539,VPN,0,1,172.31.38.175,10.128.20.182,UDP,1194,3578891162,
openvpn-server,Andrew.E,2022.06.28 11:08:46 EDT,17916,VPN,0,1,172.30.3.121,10.128.20.221,UDP,1194,202414968,
openvpn-server,Michael.K,2022.06.28 11:45:36 EDT,13419,VPN,0,1,172.28.19.39,10.128.20.30,UDP,1194,3642708321,
openvpn-server,Joan.P,2022.06.28 12:01:56 EDT,19146,VPN,0,1,172.20.228.143,10.128.20.160,UDP,1194,193336308,
openvpn-server,Doris.X,2022.06.28 12:37:54 EDT,10931,VPN,0,1,172.26.113.90,10.128.20.115,UDP,1194,952844339,
openvpn-server,Brian.A,2022.06.28 12:48:00 EDT,,VPN,0,0,172.16.50.126,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Charlotte.X,2022.06.28 13:13:09 EDT,17273,VPN,0,1,172.18.204.55,10.128.20.227,UDP,1194,4039394688,
openvpn-server,Martha.W,2022.06.28 13:50:21 EDT,12864,VPN,0,1,172.29.193.20,10.128.20.153,UDP,1194,505542336,
openvpn-server,Danielle.F,2022.06.28 14:18:16 EDT,6139,VPN,0,1,172.29.79.30,10.128.20.74,UDP,1194,1653023974,
openvpn-server,Louis.Z,2022.06.28 14:31:54 EDT,3035,VPN,0,1,172.18.2.168,10.128.20.38,UDP,1194,259392345,
openvpn-server,Melissa.H,2022.06.28 14:43:01 EDT,1750,VPN,0,1,172.22.98.202,10.128.20.224,UDP,1194,315883750,
openvpn-server,Russell.A,2022.06.28 15:17:53 EDT,9494,VPN,0,1,172.24.59.125,10.128.20.94,UDP,1194,1876137822,
openvpn-server,Jeffrey.Z,2022.06.28 15:28:02 EDT,2438,VPN,0,1,172.28.224.76,10.128.20.175,UDP,1194,577530506,
openvpn-server,James.V,2022.06.28 15:52:53 EDT,2554,VPN,0,1,172.25.52.83,10.128.20.58,UDP,1194,503357644,
openvpn-server,Doris.X,2022.06.28 16:14:17 EDT,5969,VPN,0,1,172.22.47.202,10.128.20.91,UDP,1194,497575840,
openvpn-server,Lawrence.A,2022.06.28 16:36:16 EDT,,VPN,0,0,172.30.134.46,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Emma.H,2022.06.28 16:50:43 EDT,,VPN,0,0,172.23.190.252,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Abigail.F,2022.06.28 17:27:01 EDT,3264,VPN,0,1,172.29.119.209,10.128.20.55,UDP,1194,641496768,
openvpn-server,Joan.P,2022.06.28 18:01:24 EDT,6266,VPN,0,1,172.21.28.162,10.128.20.94,UDP,1194,1151697066,
openvpn-server,Kelly.G,2022.06.28 18:29:27 EDT,6122,VPN,0,1,172.27.249.40,10.128.20.29,UDP,1194,1114240732,
openvpn-server,Charlotte.X,2022.06.28 18:59:32 EDT,6422,VPN,0,1,172.28.47.58,10.128.20.174,UDP,1194,107902444,
openvpn-server,Moses.K,2022.06.29 07:36:02 EDT,19127,VPN,0,1,172.30.122.56,10.128.20.81,UDP,1194,1493665684,
openvpn-server,Martha.W,2022.06.29 07:57:39 EDT,,VPN,0,0,172.30.41.154,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jacqueline.T,2022.06.29 08:10:29 EDT,7620,VPN,0,1,172.16.107.141,10.128.20.210,UDP,1194,326265540,
openvpn-server,Michael.K,2022.06.29 08:29:30 EDT,13643,VPN,0,1,172.23.80.68,10.128.20.2,UDP,1194,81858000,
openvpn-server,Moses.K,2022.06.29 08:45:23 EDT,4199,VPN,0,1,172.27.26.101,10.128.20.54,UDP,1194,894823696,
openvpn-server,Lawrence.A,2022.06.29 09:20:16 EDT,35417,VPN,0,1,172.18.247.160,10.128.20.22,UDP,1194,6113045034,
openvpn-server,Danielle.F,2022.06.29 09:38:40 EDT,19262,VPN,0,1,172.31.102.148,10.128.20.164,UDP,1194,3569364172,
openvpn-server,Teresa.I,2022.06.29 10:10:09 EDT,7513,VPN,0,1,172.30.128.13,10.128.20.138,UDP,1194,2028081759,
openvpn-server,Nicole.Z,2022.06.29 10:23:17 EDT,15927,VPN,0,1,172.17.104.129,10.128.20.19,UDP,1194,1163722182,
openvpn-server,Denise.P,2022.06.29 10:40:40 EDT,21750,VPN,0,1,172.28.15.248,10.128.20.141,UDP,1194,187811250,
openvpn-server,James.V,2022.06.29 10:58:05 EDT,,VPN,0,0,172.18.249.7,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Dorothy.D,2022.06.29 11:19:07 EDT,,VPN,0,0,172.31.3.235,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Logan.Y,2022.06.29 11:53:04 EDT,2758,VPN,0,1,172.25.231.198,10.128.20.250,UDP,1194,747511772,
openvpn-server,Timothy.T,2022.06.29 12:27:08 EDT,,VPN,0,0,172.17.38.148,,UDP,1194,,user not found
openvpn-server,Andrew.E,2022.06.29 12:58:41 EDT,4395,VPN,0,1,172.21.137.107,10.128.20.241,UDP,1194,233312970,
openvpn-server,Dorothy.D,2022.06.29 13:12:15 EDT,4377,VPN,0,1,172.27.157.212,10.128.20.115,UDP,1194,380243121,
openvpn-server,Abigail.F,2022.06.29 13:24:07 EDT,3737,VPN,0,1,172.27.77.135,10.128.20.233,UDP,1194,472237216,
openvpn-server,Michael.K,2022.06.29 13:34:52 EDT,18979,VPN,0,1,172.21.147.33,10.128.20.207,UDP,1194,1117236793,
openvpn-server,Brian.A,2022.06.29 14:09:10 EDT,9694,VPN,0,1,172.27.233.69,10.128.20.253,UDP,1194,1720510508,
openvpn-server,Alan.R,2022.06.29 14:23:36 EDT,,VPN,0,0,172.23.201.92,,UDP,1194,,user not found
openvpn-server,Nicole.Z,2022.06.29 14:57:27 EDT,17952,VPN,0,1,172.22.45.53,10.128.20.239,UDP,1194,1758631776,
openvpn-server,Sophia.R,2022.06.29 15:31:46 EDT,,VPN,0,0,172.27.206.22,,UDP,1194,,user not found
openvpn-server,Danielle.F,2022.06.29 15:54:22 EDT,10749,VPN,0,1,172.24.200.78,10.128.20.146,UDP,1194,1497604425,
openvpn-server,Sara.E,2022.06.29 16:06:37 EDT,8557,VPN,0,1,172.26.184.56,10.128.20.252,UDP,1194,1513502261,
openvpn-server,Melissa.H,2022.06.29 16:23:44 EDT,5294,VPN,0,1,172.20.50.203,10.128.20.48,UDP,1194,579857114,
openvpn-server,Kelly.G,2022.06.29 16:37:22 EDT,3914,VPN,0,1,172.31.132.172,10.128.20.54,UDP,1194,733808462,
openvpn-server,Joan.P,2022.06.29 17:06:20 EDT,,VPN,0,0,172.16.240.21,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Charlotte.X,2022.06.29 17:39:53 EDT,3042,VPN,0,1,172.18.69.209,10.128.20.29,UDP,1194,239241132,
openvpn-server,Teresa.I,2022.06.29 17:54:35 EDT,2961,VPN,0,1,172.18.161.43,10.128.20.25,UDP,1194,632629494,
openvpn-server,Melissa.H,2022.06.29 18:12:09 EDT,,VPN,0,0,172.18.196.154,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Sara.E,2022.06.29 18:32:20 EDT,,VPN,0,0,172.28.127.43,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Doris.X,2022.06.29 18:52:03 EDT,5373,VPN,0,1,172.29.238.211,10.128.20.227,UDP,1194,855881289,
openvpn-server,Jacqueline.T,2022.06.30 07:28:21 EDT,29851,VPN,0,1,172.23.234.107,10.128.20.97,UDP,1194,5220850347,
openvpn-server,Andrew.E,2022.06.30 08:03:29 EDT,12114,VPN,0,1,172.23.40.49,10.128.20.56,UDP,1194,2669150304,
openvpn-server,Logan.Y,2022.06.30 08:40:29 EDT,29417,VPN,0,1,172.29.23.193,10.128.20.239,UDP,1194,250662257,
openvpn-server,Jeffrey.Z,2022.06.30 08:55:43 EDT,19696,VPN,0,1,172.28.31.180,10.128.20.169,UDP,1194,2857003280,
openvpn-server,Emma.H,2022.06.30 09:11:35 EDT,,VPN,0,0,172.18.133.205,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Charlotte.X,2022.06.30 09:24:36 EDT,17903,VPN,0,1,172.18.138.251,10.128.20.178,UDP,1194,2036448347,
openvpn-server,Martha.W,2022.06.30 09:53:17 EDT,16818,VPN,0,1,172.25.47.238,10.128.20.27,UDP,1194,107063388,
openvpn-server,Lawrence.A,2022.06.30 10:29:28 EDT,32030,VPN,0,1,172.25.176.174,10.128.20.162,UDP,1194,1569021580,
openvpn-server,Louis.Z,2022.06.30 10:56:04 EDT,5840,VPN,0,1,172.27.211.35,10.128.20.170,UDP,1194,1215397440,
openvpn-server,Melissa.H,2022.06.30 11:29:32 EDT,28749,VPN,0,1,172.20.111.37,10.128.20.15,UDP,1194,5218690974,
openvpn-server,Michael.K,2022.06.30 11:52:45 EDT,,VPN,0,0,172.24.169.250,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Joan.P,2022.06.30 12:29:42 EDT,21369,VPN,0,1,172.28.87.34,10.128.20.152,UDP,1194,1075010283,
openvpn-server,Russell.A,2022.06.30 12:50:31 EDT,12474,VPN,0,1,172.23.38.237,10.128.20.222,UDP,1194,2700658422,
openvpn-server,Brian.A,2022.06.30 13:02:46 EDT,20346,VPN,0,1,172.17.104.103,10.128.20.125,UDP,1194,1204381470,
openvpn-server,Teresa.I,2022.06.30 13:24:35 EDT,20184,VPN,0,1,172.24.138.96,10.128.20.126,UDP,1194,1584444000,
openvpn-server,Nicole.Z,2022.06.30 13:52:03 EDT,20585,VPN,0,1,172.18.250.71,10.128.20.78,UDP,1194,3091517055,
openvpn-server,Dorothy.D,2022.06.30 14:14:06 EDT,10573,VPN,0,1,172.18.59.174,10.128.20.140,UDP,1194,2267739332,
openvpn-server,Kelly.G,2022.06.30 14:45:49 EDT,8894,VPN,0,1,172.26.57.102,10.128.20.252,UDP,1194,1429016768,
openvpn-server,Jeffrey.Z,2022.06.30 15:11:38 EDT,4552,VPN,0,1,172.19.205.234,10.128.20.231,UDP,1194,138945248,
openvpn-server,Charlotte.X,2022.06.30 15:42:15 EDT,12483,VPN,0,1,172.26.132.90,10.128.20.220,UDP,1194,1689162111,
openvpn-server,Andrew.E,2022.06.30 16:14:31 EDT,8664,VPN,0,1,172.16.165.155,10.128.20.50,UDP,1194,795623784,
openvpn-server,Mary.J,2022.06.30 16:40:58 EDT,8746,VPN,0,1,172.19.97.104,10.128.20.202,UDP,1194,651253398,
openvpn-server,Abigail.F,2022.06.30 17:01:06 EDT,1451,VPN,0,1,172.23.168.192,10.128.20.230,UDP,1194,203874206,
openvpn-server,Louis.Z,2022.06.30 17:11:31 EDT,5016,VPN,0,1,172.23.89.120,10.128.20.166,UDP,1194,1032026952,
openvpn-server,James.V,2022.06.30 17:45:21 EDT,1111,VPN,0,1,172.17.228.33,10.128.20.80,UDP,1194,226404024,
openvpn-server,Sara.E,2022.06.30 18:17:36 EDT,1596,VPN,0,1,172.22.196.51,10.128.20.30,UDP,1194,321632304,
openvpn-server,Jacqueline.T,2022.06.30 18:41:26 EDT,5751,VPN,0,1,172.21.164.29,10.128.20.67,UDP,1194,1329694461,
openvpn-server,Michael.K,2022.07.01 07:08:40 EDT,26444,VPN,0,1,172.24.1.228,10.128.20.29,UDP,1194,3911358484,
openvpn-server,Kelly.G,2022.07.01 07:41:38 EDT,14391,VPN,0,1,172.18.38.154,10.128.20.57,UDP,1194,3911416236,
openvpn-server,Andrew.E,2022.07.01 08:00:06 EDT,19792,VPN,0,1,172.31.174.13,10.128.20.193,UDP,1194,501450112,
openvpn-server,Sara.E,2022.07.01 08:16:03 EDT,,VPN,0,0,172.31.207.113,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Joan.P,2022.07.01 08:26:32 EDT,35657,VPN,0,1,172.28.2.197,10.128.20.153,UDP,1194,4056625576,
openvpn-server,Peter.U,2022.07.01 08:51:46 EDT,,VPN,0,0,172.23.216.20,,UDP,1194,,user not found
openvpn-server,Louis.Z,2022.07.01 09:29:29 EDT,25232,VPN,0,1,172.27.175.52,10.128.20.247,UDP,1194,3051028208,
openvpn-server,Emma.H,2022.07.01 09:42:19 EDT,,VPN,0,0,172.21.163.233,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Mary.J,2022.07.01 10:07:40 EDT,,VPN,0,0,172.16.150.245,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Sara.E,2022.07.01 10:45:24 EDT,22718,VPN,0,1,172.29.176.21,10.128.20.24,UDP,1194,524331440,
openvpn-server,Logan.Y,2022.07.01 11:11:44 EDT,14923,VPN,0,1,172.16.20.60,10.128.20.27,UDP,1194,1388137460,
openvpn-server,Melissa.H,2022.07.01 11:41:38 EDT,18587,VPN,0,1,172.29.229.200,10.128.20.168,UDP,1194,1990072916,
openvpn-server,Danielle.F,2022.07.01 12:17:09 EDT,,VPN,0,0,172.19.110.137,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Emma.H,2022.07.01 12:54:31 EDT,20135,VPN,0,1,172.23.183.65,10.128.20.230,UDP,1194,1399724795,
openvpn-server,Doris.X,2022.07.01 13:14:42 EDT,2254,VPN,0,1,172.21.55.5,10.128.20.90,UDP,1194,456342586,
openvpn-server,Mary.J,2022.07.01 13:46:17 EDT,8303,VPN,0,1,172.17.30.76,10.128.20.221,UDP,1194,816849140,
openvpn-server,Abigail.F,2022.07.01 13:58:47 EDT,9637,VPN,0,1,172.19.105.94,10.128.20.65,UDP,1194,1341528222,
openvpn-server,Nicole.Z,2022.07.01 14:26:40 EDT,10566,VPN,0,1,172.20.93.199,10.128.20.227,UDP,1194,1982688768,
openvpn-server,Doris.X,2022.07.01 14:47:29 EDT,17054,VPN,0,1,172.24.90.84,10.128.20.92,UDP,1194,2129857006,
openvpn-server,Charlotte.X,2022.07.01 14:58:02 EDT,9642,VPN,0,1,172.23.232.180,10.128.20.198,UDP,1194,589521522,
openvpn-server,James.V,2022.07.01 15:32:35 EDT,7565,VPN,0,1,172.17.221.188,10.128.20.63,UDP,1194,22657175,
openvpn-server,Russell.A,2022.07.01 16:03:57 EDT,7240,VPN,0,1,172.31.164.107,10.128.20.254,UDP,1194,284560960,
openvpn-server,Jean.H,2022.07.01 16:28:11 EDT,,VPN,0,0,172.17.254.141,,UDP,1194,,user not found
openvpn-server,Danielle.F,2022.07.01 16:44:58 EDT,,VPN,0,0,172.29.178.12,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Teresa.I,2022.07.01 17:00:24 EDT,,VPN,0,0,172.24.84.2,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Louis.Z,2022.07.01 17:13:29 EDT,1478,VPN,0,1,172.28.147.36,10.128.20.23,UDP,1194,55590536,
openvpn-server,Dorothy.D,2022.07.01 17:31:29 EDT,,VPN,0,0,172.23.75.3,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Danielle.F,2022.07.01 17:45:28 EDT,5684,VPN,0,1,172.28.205.164,10.128.20.81,UDP,1194,711471964,
openvpn-server,Russell.A,2022.07.01 18:21:28 EDT,5436,VPN,0,1,172.25.188.198,10.128.20.73,UDP,1194,1257439212,
openvpn-server,Jean.F,2022.07.01 18:43:09 EDT,,VPN,0,0,172.24.247.118,,UDP,1194,,user not found
openvpn-server,Denise.P,2022.07.02 07:19:33 EDT,40713,VPN,0,1,172.16.54.99,10.128.20.26,UDP,1194,2120292327,
openvpn-server,Charlotte.X,2022.07.02 07:31:14 EDT,35242,VPN,0,1,172.25.102.195,10.128.20.149,UDP,1194,9189386742,
openvpn-server,Jacqueline.T,2022.07.02 07:44:03 EDT,3738,VPN,0,1,172.17.183.89,10.128.20.209,UDP,1194,866068434,
openvpn-server,Joan.P,2022.07.02 08:22:24 EDT,35760,VPN,0,1,172.27.228.214,10.128.20.243,UDP,1194,1703105760,
openvpn-server,Brian.A,2022.07.02 09:00:22 EDT,22867,VPN,0,1,172.24.123.126,10.128.20.164,UDP,1194,2804386013,
openvpn-server,Sara.E,2022.07.02 09:31:50 EDT,,VPN,0,0,172.19.37.94,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Russell.A,2022.07.02 09:51:22 EDT,32782,VPN,0,1,172.25.189.104,10.128.20.153,UDP,1194,5644798144,
openvpn-server,Lawrence.A,2022.07.02 10:10:14 EDT,1374,VPN,0,1,172.18.106.103,10.128.20.14,UDP,1194,368497182,
openvpn-server,Emma.H,2022.07.02 10:38:07 EDT,23538,VPN,0,1,172.26.141.66,10.128.20.154,UDP,1194,5618826594,
openvpn-server,Melissa.H,2022.07.02 10:53:14 EDT,,VPN,0,0,172.25.154.63,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Lawrence.A,2022.07.02 11:17:34 EDT,12325,VPN,0,1,172.22.83.204,10.128.20.127,UDP,1194,1256484450,
openvpn-server,Logan.Y,2022.07.02 11:53:50 EDT,3712,VPN,0,1,172.18.8.149,10.128.20.251,UDP,1194,526658560,
openvpn-server,Nicole.Z,2022.07.02 12:31:23 EDT,24255,VPN,0,1,172.17.120.244,10.128.20.34,UDP,1194,5363847720,
openvpn-server,Jacqueline.T,2022.07.02 12:46:52 EDT,,VPN,0,0,172.16.243.33,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,James.V,2022.07.02 13:07:52 EDT,17445,VPN,0,1,172.23.183.167,10.128.20.28,UDP,1194,4149520035,
openvpn-server,Michael.K,2022.07.02 13:19:55 EDT,2674,VPN,0,1,172.17.212.142,10.128.20.171,UDP,1194,54980114,
openvpn-server,Louis.Z,2022.07.02 13:54:03 EDT,3361,VPN,0,1,172.26.211.234,10.128.20.254,UDP,1194,503225725,
openvpn-server,Vincent.G,2022.07.02 14:10:17 EDT,,VPN,0,0,172.16.137.29,,UDP,1194,,user not found
openvpn-server,Andrew.E,2022.07.02 14:26:19 EDT,7796,VPN,0,1,172.26.4.204,10.128.20.215,UDP,1194,265555148,
openvpn-server,Abigail.F,2022.07.02 14:57:47 EDT,922,VPN,0,1,172.22.184.217,10.128.20.35,UDP,1194,131886568,
openvpn-server,Jeffrey.Z,2022.07.02 15:34:30 EDT,895,VPN,0,1,172.16.100.54,10.128.20.163,UDP,1194,44416165,
openvpn-server,Lawrence.A,2022.07.02 15:55:39 EDT,1745,VPN,0,1,172.18.35.171,10.128.20.64,UDP,1194,101007580,
openvpn-server,Doris.X,2022.07.02 16:21:18 EDT,3043,VPN,0,1,172.16.219.78,10.128.20.94,UDP,1194,414794373,
openvpn-server,Melissa.H,2022.07.02 16:44:22 EDT,1984,VPN,0,1,172.20.0.187,10.128.20.253,UDP,1194,42084608,
openvpn-server,Martha.W,2022.07.02 17:05:25 EDT,3705,VPN,0,1,172.24.177.128,10.128.20.144,UDP,1194,415374960,
openvpn-server,Brian.A,2022.07.02 17:19:27 EDT,2848,VPN,0,1,172.31.14.94,10.128.20.246,UDP,1194,259860064,
openvpn-server,Sara.E,2022.07.02 17:54:05 EDT,1358,VPN,0,1,172.28.229.20,10.128.20.216,UDP,1194,29856988,
